Num,Speed X,Speed Y,Speed Z,Total Speed,Lo,La,Heading(Deg)
50,0.0,0.0,0.0,0.0,363075.0,6921812.0,112.16346603351839
51,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.16043315296457
52,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.15612183634066
53,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.15536627800692
54,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.15477893358542
55,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.12415463917306
56,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.14732143808082
57,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.13143274188344
58,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.1428270987866
59,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.11853754877832
60,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.13822337076118
61,0.0,0.0,0.0,0.0,363075.0,6921812.0,112.1709357405286
62,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.1251042791415
63,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.16088879561786
64,0.0,0.0,0.0,0.0,363075.0,6921812.0,112.17096315580702
65,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.16241299596126
66,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.12291135950557
67,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.11897416727008
68,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.12217450155615
69,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.14089733503438
70,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.1489368203102
71,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.15985740261232
72,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.11809217395418
73,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.14108667325213
74,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.11845665010851
75,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.13389076531554
76,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.13966569059866
77,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.11980363453564
78,0.0,0.0,0.0,0.0,363075.0,6921812.0,112.16896159705759
79,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.13418621998116
80,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.15248514728694
81,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.13170933852396
82,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.15430454531916
83,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.15162489496075
84,0.0,0.0,0.0,0.0,363075.0,6921812.0,112.16686640120565
85,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.15425944013145
86,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.15270935163444
87,0.0,0.0,0.0,0.0,363075.0,6921812.0,112.16361053097697
88,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.14989349595011
